Frame,Speed along x-axis
0,6.255249
1,5.959656
2,5.977051
3,6.2142334
4,7.0299683
5,5.9831543
6,6.7491455
7,6.734436
8,5.9021606
9,6.6743774
10,6.5096436
11,6.583008
12,7.0422363
13,7.43573
14,7.175171
15,7.425476
16,6.119995
17,6.4404907
18,7.0913696
19,6.7022705
20,6.1693726
21,6.3619385
22,6.154114
23,5.6799927
24,5.656006
25,5.1295776
26,5.286499
27,4.683655
28,4.316223
29,3.9959717
30,3.44281
31,2.1767578
32,2.3052979
33,1.4613037
34,1.8459473
35,11.66095
36,1.270752
37,0.70043945
38,0.33483887
39,0.7015991
40,0.112976074
41,0.659729
42,0.61016846
43,0.92474365
44,1.1505737
45,1.53656
46,1.6160278
47,1.7364502
48,2.2005615
49,2.4904785
50,3.0384521
51,3.3704224
52,3.1712036
53,4.6242065
54,5.393738
55,4.286133
56,4.489441
57,5.043518
58,4.255005
59,4.446533
60,4.201416
61,7.3829956
62,5.6206665
63,5.032837
64,6.3151245
65,5.651001
66,6.615906
67,6.1875
68,5.986084
69,6.331848
70,6.1638184
71,6.2681885
72,20.60785
73,8.43158
74,6.376648
75,6.3778076
76,6.344116
77,6.1506042
78,6.042572
79,5.819763
80,23.047028
